epoch,loss,encoder_mse,dec_mse,bitwise-error,adversarial_bce,discr_cover_bce,discr_encod_bce,duration
191,0.0285,0.0102,0.0174,0.0013,3.9564,0.0629,0.0672,2
192,0.0291,0.0101,0.0182,0.0020,3.8380,0.0846,0.0791,3
193,0.0287,0.0103,0.0180,0.0018,3.4703,0.1257,0.1168,3
194,0.0277,0.0103,0.0173,0.0015,3.1807,0.1589,0.1532,3
195,0.0273,0.0101,0.0173,0.0017,2.9480,0.1891,0.1827,3
196,0.0275,0.0101,0.0175,0.0015,2.8686,0.1743,0.1904,3
197,0.0273,0.0099,0.0175,0.0018,2.8929,0.2550,0.2529,3
198,0.0257,0.0096,0.0167,0.0012,2.2984,0.3881,0.3744,3
199,0.0251,0.0093,0.0164,0.0013,2.2094,0.3933,0.3419,3
200,0.0253,0.0089,0.0167,0.0018,2.3332,0.2518,0.2725,3
201,0.0265,0.0092,0.0175,0.0018,2.5696,0.2278,0.2621,3
202,0.0260,0.0092,0.0171,0.0017,2.4051,0.3490,0.2679,3
203,0.0259,0.0089,0.0171,0.0017,2.5858,0.2808,0.2619,3
204,0.0268,0.0095,0.0174,0.0016,2.6780,0.1843,0.1809,3
205,0.0270,0.0094,0.0171,0.0015,3.3310,0.0903,0.1327,3
206,0.0260,0.0096,0.0168,0.0017,2.4716,0.4600,0.3504,3
207,0.0257,0.0091,0.0170,0.0016,2.3485,0.2573,0.3121,3
208,0.0260,0.0090,0.0172,0.0019,2.4101,0.3465,0.2949,2
209,0.0251,0.0087,0.0169,0.0017,2.1155,0.4951,0.3596,2
210,0.0251,0.0089,0.0166,0.0014,2.3166,0.3458,0.2717,3
211,0.0253,0.0089,0.0167,0.0014,2.4244,0.2093,0.2421,2
212,0.0260,0.0090,0.0167,0.0013,2.9084,0.1583,0.1237,3
213,0.0270,0.0093,0.0173,0.0017,3.1990,0.1006,0.1300,3
214,0.0273,0.0096,0.0173,0.0019,3.2520,0.1535,0.1006,3
215,0.0281,0.0098,0.0174,0.0018,3.7604,0.0661,0.0590,2
216,0.0279,0.0102,0.0172,0.0014,3.5202,0.1098,0.1222,3
217,0.0275,0.0100,0.0172,0.0016,3.2736,0.1446,0.1180,3
218,0.0274,0.0095,0.0173,0.0016,3.4858,0.1099,0.1221,3
219,0.0280,0.0097,0.0175,0.0017,3.7418,0.0849,0.0849,3
220,0.0277,0.0099,0.0170,0.0019,3.6985,0.0916,0.0911,3
221,0.0285,0.0102,0.0176,0.0017,3.7378,0.1061,0.0828,2
222,0.0284,0.0102,0.0176,0.0019,3.5788,0.0751,0.0959,3
223,0.0283,0.0102,0.0172,0.0016,3.8878,0.0947,0.0626,3
224,0.0280,0.0100,0.0173,0.0014,3.6901,0.1249,0.0916,3
225,0.0288,0.0102,0.0176,0.0015,3.9746,0.1256,0.0912,3
226,0.0270,0.0101,0.0172,0.0017,2.8080,0.2075,0.2005,3
227,0.0266,0.0099,0.0168,0.0015,2.7967,0.2304,0.2196,3
228,0.0262,0.0097,0.0168,0.0017,2.5711,0.3266,0.3322,3
229,0.0258,0.0095,0.0166,0.0014,2.5440,0.2685,0.2879,3
230,0.0253,0.0092,0.0164,0.0014,2.4435,0.2819,0.2860,3
231,0.0261,0.0094,0.0168,0.0014,2.7139,0.1972,0.2071,3
232,0.0263,0.0094,0.0168,0.0015,2.9160,0.2087,0.1731,1
233,0.0265,0.0096,0.0168,0.0014,3.0293,0.1956,0.1904,1
234,0.0260,0.0094,0.0166,0.0015,2.8298,0.2611,0.2118,1
235,0.0269,0.0096,0.0170,0.0016,3.2593,0.1819,0.1257,1
236,0.0273,0.0096,0.0171,0.0015,3.5020,0.1729,0.1151,1
237,0.0274,0.0097,0.0173,0.0018,3.3063,0.1804,0.1951,1
238,0.0262,0.0094,0.0169,0.0023,2.6579,0.5125,0.4177,1
239,0.0246,0.0086,0.0163,0.0016,2.1943,0.4895,0.3590,1
240,0.0241,0.0083,0.0162,0.0016,2.1638,0.5508,0.3671,1
241,0.0240,0.0083,0.0159,0.0015,2.2159,0.3844,0.2955,3
242,0.0243,0.0084,0.0161,0.0015,2.3354,0.3471,0.2414,3
243,0.0250,0.0086,0.0166,0.0017,2.3996,0.2940,0.1804,3
244,0.0246,0.0084,0.0162,0.0017,2.5549,0.2352,0.1832,3
245,0.0255,0.0087,0.0167,0.0016,2.7706,0.2158,0.1706,3
246,0.0259,0.0088,0.0167,0.0015,3.0045,0.1625,0.1172,3
247,0.0260,0.0090,0.0166,0.0015,3.0510,0.1865,0.1721,3
248,0.0254,0.0089,0.0164,0.0016,2.6700,0.2860,0.2048,3
249,0.0257,0.0089,0.0165,0.0013,3.0185,0.1406,0.1387,3
250,0.0268,0.0091,0.0169,0.0017,3.4946,0.1128,0.0955,3
251,0.0257,0.0089,0.0168,0.0014,2.7494,0.2519,0.2083,3
252,0.0248,0.0085,0.0161,0.0015,2.7724,0.3752,0.2488,3
253,0.0245,0.0084,0.0164,0.0016,2.2146,0.4221,0.3259,3
254,0.0251,0.0084,0.0169,0.0018,2.4063,0.2653,0.2183,3
255,0.0253,0.0085,0.0167,0.0017,2.6691,0.2011,0.1784,3
256,0.0249,0.0084,0.0163,0.0015,2.7427,0.2875,0.1806,3
257,0.0245,0.0084,0.0161,0.0013,2.5684,0.1932,0.1962,3
258,0.0252,0.0085,0.0163,0.0014,2.8896,0.1812,0.1334,3
259,0.0251,0.0084,0.0163,0.0015,3.0175,0.1466,0.1071,3
260,0.0257,0.0086,0.0165,0.0016,3.2018,0.1434,0.1083,3
261,0.0261,0.0084,0.0168,0.0017,3.4089,0.1239,0.0939,3
262,0.0256,0.0086,0.0164,0.0016,3.2084,0.1503,0.1248,3
263,0.0258,0.0085,0.0168,0.0018,3.0869,0.1723,0.1133,3
264,0.0253,0.0085,0.0162,0.0016,3.2088,0.1219,0.0989,3
265,0.0271,0.0092,0.0167,0.0021,3.8741,0.1064,0.0934,3
266,0.0258,0.0086,0.0166,0.0017,3.1478,0.2135,0.1421,3
267,0.0257,0.0086,0.0170,0.0019,2.6625,0.2644,0.2168,3
268,0.0244,0.0083,0.0161,0.0015,2.4479,0.2624,0.2405,3
269,0.0244,0.0083,0.0162,0.0017,2.4139,0.3062,0.3162,3
270,0.0236,0.0080,0.0158,0.0016,2.1717,0.3858,0.2656,2
271,0.0247,0.0080,0.0168,0.0026,2.2689,0.2414,0.2187,2
272,0.0242,0.0082,0.0158,0.0016,2.5655,0.2328,0.2396,2
273,0.0242,0.0083,0.0160,0.0017,2.4055,0.3246,0.2307,2
274,0.0240,0.0082,0.0160,0.0017,2.2974,0.2400,0.2462,3
275,0.0247,0.0081,0.0166,0.0019,2.4609,0.2581,0.1749,3
276,0.0252,0.0081,0.0166,0.0016,2.8556,0.1372,0.1483,3
277,0.0247,0.0084,0.0162,0.0016,2.7259,0.2205,0.1484,3
278,0.0246,0.0081,0.0161,0.0018,2.8259,0.1626,0.1645,3
279,0.0251,0.0086,0.0164,0.0018,2.7354,0.2168,0.1721,3
280,0.0250,0.0082,0.0165,0.0016,2.6875,0.2167,0.1814,3
281,0.0249,0.0083,0.0167,0.0018,2.4651,0.2641,0.2103,3
282,0.0251,0.0084,0.0165,0.0016,2.7356,0.1674,0.1649,3
283,0.0250,0.0087,0.0161,0.0017,2.7397,0.1313,0.2083,2
284,0.0233,0.0078,0.0150,0.0012,2.7835,0.2217,0.1311,3
285,0.0245,0.0079,0.0160,0.0015,2.9427,0.1962,0.1501,3
286,0.0250,0.0084,0.0165,0.0016,2.6593,0.3234,0.3475,3
287,0.0243,0.0081,0.0163,0.0019,2.2408,0.3924,0.3068,3
288,0.0238,0.0079,0.0161,0.0019,2.1579,0.4097,0.2808,3
289,0.0237,0.0076,0.0162,0.0018,2.2480,0.3054,0.2647,3
290,0.0236,0.0077,0.0160,0.0017,2.2412,0.3154,0.2989,2
291,0.0231,0.0076,0.0157,0.0015,2.0616,0.3785,0.2909,3
292,0.0235,0.0077,0.0160,0.0015,2.1889,0.2928,0.2834,3
293,0.0236,0.0075,0.0161,0.0017,2.2280,0.2931,0.2426,3
294,0.0248,0.0077,0.0172,0.0027,2.3021,0.2514,0.2465,2
295,0.0233,0.0077,0.0158,0.0016,2.2085,0.2994,0.2654,2
296,0.0242,0.0076,0.0167,0.0023,2.1406,0.3025,0.3250,3
297,0.0238,0.0075,0.0163,0.0017,2.2648,0.3405,0.2730,3
298,0.0238,0.0075,0.0163,0.0019,2.2233,0.2875,0.2279,2
299,0.0238,0.0077,0.0160,0.0017,2.4391,0.2254,0.1816,3
300,0.0239,0.0077,0.0159,0.0015,2.5879,0.2062,0.1678,2
